time/time_elapsed,time/total_timesteps,time/fps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,rollout/exploration_rate,train/learning_rate,train/loss,train/n_updates,eval/mean_reward,eval/mean_ep_length
0,357,2236,4,89.25,-223.11094350000002,0.9983042500000003,,,,,
0,713,2232,8,89.125,-255.03429612499997,0.9966132500000002,,,,,
0,1041,2256,12,86.75,-214.99751008333328,0.9950552499999997,,,,,
0,1375,2287,16,85.9375,-219.9924988125,0.9934687500000005,,,,,
0,1710,2282,20,85.5,-208.78587425,0.9918774999999995,,,,,
0,2085,2292,24,86.875,-200.77687220833332,0.9900962500000006,,,,,
1,2508,2319,28,89.57142857142857,-218.37092925,0.9880870000000002,,,,,
1,2902,2318,32,90.6875,-217.32825721874997,0.9862155000000002,,,,,
1,3298,2312,36,91.61111111111111,-211.74769502777775,0.9843344999999999,,,,,
1,3668,2276,40,91.7,-212.96954465,0.982577,,,,,
1,4033,2279,44,91.6590909090909,-211.75281286363634,0.9808432500000002,,,,,
1,4366,2285,48,90.95833333333333,-207.36945681249998,0.9792614999999996,,,,,
2,4730,2245,52,90.96153846153847,-213.10397673076926,0.9775325000000005,,,,,
2,5085,2149,56,90.80357142857143,-214.94073364285714,0.97584625,,,,,
2,5472,2094,60,91.2,-215.28198576666665,0.9740080000000004,,,,,
2,5884,2047,64,91.9375,-216.74731457812499,0.972051,,,,,
3,6203,2024,68,91.22058823529412,-215.47967801470585,0.9705357500000003,,,,,
3,6576,1939,72,91.33333333333333,-211.72965418055557,0.9687640000000004,,,,,
3,6910,1981,76,90.92105263157895,-211.57317821052635,0.9671775000000001,,,,,
3,7253,2012,80,90.6625,-208.98095610000001,0.9655482500000002,,,,,
3,7565,2043,84,90.05952380952381,-205.0739790119048,0.9640662499999998,,,,,
3,7896,2091,88,89.72727272727273,-201.34036340909094,0.9624940000000005,,,,,
3,8303,2135,92,90.25,-200.1311500978261,0.9605607500000003,,,,,
3,8642,2166,96,90.02083333333333,-200.44663851041665,0.9589504999999998,,,,,
4,8947,2186,100,89.47,-199.5098293,0.9575017499999998,,,,,
4,9351,2085,104,89.94,-200.99661013000002,0.9555827499999995,,,,,
4,9765,2104,108,90.52,-196.73990840999994,0.9536162499999998,,,,,
4,10131,2134,112,90.9,-199.77254044999998,0.9518777500000005,,,,,
5,10554,2101,116,91.79,-196.50472586000004,0.9498685000000002,,,,,
5,10913,2126,120,92.03,-196.42195508000003,0.9481632500000002,,,,,
5,11341,2158,124,92.56,-198.13685883000002,0.9461302499999998,,,,,
5,11726,2187,128,92.18,-190.72928105,0.9443015000000005,,,,,
5,12102,2209,132,92.0,-189.45121351,0.9425154999999997,,,,,
5,12427,2194,136,91.29,-189.89866757000004,0.9409717500000002,,,,,
5,12755,2193,140,90.87,-190.91484256999996,0.9394137499999997,,,,,
5,13074,2189,144,90.41,-189.69667114999996,0.9378984999999999,,,,,
6,13513,2160,148,91.47,-190.41180149,0.9358132499999995,,,,,
6,13957,2187,152,92.27,-187.49608649000004,0.93370425,,,,,
6,14370,2212,156,92.85,-184.77134493999998,0.9317425,,,,,
6,14724,2202,160,92.52,-181.80035099999998,0.9300610000000002,,,,,
6,15114,2204,164,92.3,-178.23019304999997,0.9282084999999997,,,,,
7,15460,2161,168,92.57,-176.63902703999997,0.9265649999999999,,,,,
7,15833,2139,172,92.57,-177.52249356999997,0.92479325,,,,,
7,16162,2153,176,92.52,-177.03488877,0.9232305,,,,,
7,16584,2173,180,93.31,-181.50420965000004,0.9212260000000003,,,,,
7,16935,2181,184,93.7,-183.60749391999997,0.9195587500000004,,,,,
8,17323,2150,188,94.27,-185.31011759999998,0.9177157500000002,,,,,
8,17657,2162,192,93.54,-187.47298689999997,0.9161292499999998,,,,,
8,18105,2182,196,94.63,-190.96478364999996,0.9140012499999999,,,,,
8,18420,2196,200,94.73,-190.16962417999994,0.9125049999999995,,,,,
8,18800,2214,204,94.49,-191.06797663999998,0.9107000000000003,,,,,
8,19145,2229,208,93.8,-191.48405955999996,0.9090612500000002,,,,,
8,19504,2245,212,93.73,-188.66235681999996,0.9073560000000002,,,,,
8,19865,2261,216,93.11,-189.52424497000004,0.90564125,,,,,
8,20270,2278,220,93.57,-191.76943414999997,0.9037175,,,,,
8,20640,2295,224,92.99,-191.46426298999995,0.9019600000000001,,,,,
9,20997,2307,228,92.71,-195.35949780999997,0.9002642500000003,,,,,
9,21394,2320,232,92.92,-192.56731887,0.8983785000000004,,,,,
9,21771,2334,236,93.44,-191.83253472999996,0.8965877500000001,,,,,
9,22206,2350,240,94.51,-192.06905383999998,0.8945215000000003,,,,,
9,22542,2363,244,94.68,-191.24968553000002,0.8929254999999997,,,,,
9,22938,2379,248,94.25,-190.51460193000003,0.8910445000000005,,,,,
9,23242,2389,252,92.85,-187.25985165999998,0.8896005,,,,,
9,23649,2403,256,92.79,-191.44472550000003,0.8876672499999998,,,,,
9,23963,2415,260,92.39,-195.63726209999996,0.8861757500000003,,,,,
10,24351,2426,264,92.37,-198.65226785,0.88433275,,,,,
10,24640,2428,268,91.8,-198.85129931000003,0.8829600000000001,,,,,
10,25064,2383,272,92.31,-199.72890792,0.8809460000000001,,,,,
10,25380,2393,276,92.18,-202.26318277,0.8794450000000003,,,,,
10,25760,2405,280,91.76,-201.56079692,0.87764,,,,,
10,26127,2396,284,91.92,-202.70314714000003,0.87589675,,,,,
11,26511,2402,288,91.88,-202.98688743999995,0.8740727500000003,,,,,
11,26880,2413,292,92.23,-201.79212998,0.87232,,,,,
11,27233,2424,296,91.28,-196.22917241000002,0.8706432499999998,,,,,
11,27660,2434,300,92.4,-196.65375293999998,0.8686149999999999,,,,,
11,28061,2442,304,92.61,-191.06956892999995,0.8667102500000006,,,,,
11,28419,2406,308,92.74,-191.01071695999997,0.8650097500000001,,,,,
11,28774,2415,312,92.7,-196.05013060999997,0.8633234999999997,,,,,
12,29112,2422,316,92.47,-196.71583581000007,0.8617179999999999,,,,,
