train/delta_std,train/iterations,rollout/return_std,rollout/ep_rew_mean,rollout/ep_len_mean,train/step_size,train/learning_rate,time/total_timesteps,time/time_elapsed,time/fps,eval/mean_ep_length,eval/mean_reward
0.05,0,285.753173828125,-517.5443065000001,79.5625,8.748808795644436e-06,0.02,1273,2,467,,
0.05,1,1047.9609375,-646.6404965,93.6875,2.3855850486143027e-06,0.02,2772,7,390,,
0.05,2,573.6505737304688,-544.9965210624999,78.9375,4.358053502073744e-06,0.02,4035,11,361,,
0.05,3,216.97769165039062,-310.17377225,67.625,1.1521920896484517e-05,0.02,5117,13,382,,
0.05,4,132.56655883789062,-166.04158256250003,72.125,1.885845085780602e-05,0.02,6271,14,426,,
0.05,5,242.51858520507812,-275.270524625,66.75,1.0308487617294304e-05,0.02,7339,15,462,,
0.05,6,144.94366455078125,-191.62908412500002,72.5,1.7248079529963434e-05,0.02,8499,17,481,,
0.05,7,185.63201904296875,-192.8008034375,65.8125,1.3467503777064849e-05,0.02,9552,25,373,,
0.05,8,187.93138122558594,-196.5922593125,67.75,1.330272698396584e-05,0.02,10636,29,356,,
0.05,9,85.18855285644531,-161.16349575,70.9375,2.9346665542107075e-05,0.02,11771,31,376,,
0.05,10,26.48933219909668,-131.1421310625,66.6875,9.437761036679149e-05,0.02,12838,32,393,,
0.05,11,68.81687927246094,-139.59771093749998,70.125,3.6328296118881553e-05,0.02,13960,33,410,,
0.05,12,23.759624481201172,-122.300280625,67.0,0.00010522051161387935,0.02,15032,35,425,,
0.05,13,23.07819175720215,-128.9377753125,67.0625,0.00010832738189492375,0.02,16105,37,435,,
0.05,14,31.886199951171875,-149.4212115625,74.9375,7.84038202255033e-05,0.02,17304,39,436,,
0.05,15,45.02683639526367,-137.4212611875,75.1875,5.5522443290101364e-05,0.02,18507,41,446,,
0.05,16,40.514198303222656,-142.7056605625,73.0,6.170675624161959e-05,0.02,19675,42,457,,
0.05,17,179.3002471923828,-161.885352625,67.25,1.3943093108537141e-05,0.02,20751,44,469,,
0.05,18,42.50681686401367,-144.090354875,71.125,5.881409379071556e-05,0.02,21889,45,480,,
0.05,19,20.128053665161133,-135.9561755,68.4375,0.0001242047583218664,0.02,22984,46,491,,
0.05,20,54.28762435913086,-119.17354312500001,70.0625,4.6051009121583775e-05,0.02,24105,47,503,,
0.05,21,28.051023483276367,-133.5523215,70.0,8.912329940358177e-05,0.02,25225,49,514,,
0.05,22,61.27043533325195,-119.0274490625,77.6875,4.080271173734218e-05,0.02,26468,50,525,,
0.05,23,28.683509826660156,-142.3733589375,69.375,8.715809235582128e-05,0.02,27578,51,533,,
0.05,24,41.883514404296875,-118.8678568125,69.4375,5.9689355111913756e-05,0.02,28689,54,530,,
0.05,25,57.006935119628906,-120.88518743750001,72.9375,4.385431020637043e-05,0.02,29856,55,533,,
0.05,26,21.84872055053711,-143.407263875,70.1875,0.000114423171908129,0.02,30979,56,544,,
0.05,27,77.66930389404297,-110.4329360625,70.75,3.2187748729484156e-05,0.02,32111,58,553,,
0.05,28,69.32994842529297,-101.0258830625,72.5625,3.605945312301628e-05,0.02,33272,59,562,,
0.05,29,18.30941390991211,-139.068492875,66.4375,0.0001365417701890692,0.02,34335,60,570,,
0.05,30,25.681720733642578,-140.5792656875,68.5,9.734550258144736e-05,0.02,35431,61,580,,
0.05,31,29.449329376220703,-144.215412875,71.75,8.489158062729985e-05,0.02,36579,62,589,,
0.05,32,30.429025650024414,-129.5005815625,69.9375,8.21583962533623e-05,0.02,37698,63,598,,
0.05,33,34.105838775634766,-147.5113149375,68.75,7.330123480642214e-05,0.02,38798,63,606,,
0.05,34,18.262836456298828,-140.350251875,66.875,0.00013689001207239926,0.02,39868,65,610,,
0.05,35,25.252155303955078,-126.349864125,67.9375,9.90014523267746e-05,0.02,40955,67,610,,
0.05,36,23.460742950439453,-141.1801318125,71.1875,0.00010656098311301321,0.02,42094,68,610,,
0.05,37,23.37441062927246,-140.66585756249998,67.5,0.00010695456148823723,0.02,43174,69,617,,
0.05,38,28.819873809814453,-136.51642093750002,65.0625,8.674569107824937e-05,0.02,44215,70,623,,
0.05,39,39.779720306396484,-122.6572373125,70.625,6.284609116846696e-05,0.02,45345,71,631,,
0.05,40,48.659122467041016,-124.8568574375,69.25,5.137782500241883e-05,0.02,46453,72,637,,
0.05,41,28.73300552368164,-126.1246814375,67.6875,8.70079529704526e-05,0.02,47536,73,644,,
0.05,42,28.938016891479492,-125.1672601875,66.6875,8.639154839329422e-05,0.02,48603,74,650,,
0.05,43,24.941680908203125,-139.954544375,70.625,0.00010023382492363453,0.02,49733,75,656,,
0.05,44,25.979537963867188,-128.724741625,64.9375,9.622957441024482e-05,0.02,50772,76,659,,
0.05,45,21.897802352905273,-139.517769,70.8125,0.00011416670895414427,0.02,51905,77,665,,
0.05,46,27.37460708618164,-139.7030499375,71.6875,9.132550621870905e-05,0.02,53052,79,671,,
0.05,47,43.205474853515625,-120.68816025000001,67.1875,5.7863038819050416e-05,0.02,54127,79,677,,
0.05,48,21.519372940063477,-135.397210625,68.0,0.00011617438576649874,0.02,55215,81,680,,
0.05,49,21.061279296875,-150.483162625,68.25,0.00011870123853441328,0.02,56307,83,677,,
0.05,50,42.54288101196289,-118.64088806250001,68.3125,5.876423529116437e-05,0.02,57400,84,678,,
0.05,51,65.8022232055664,-142.7671714375,73.0625,3.799263504333794e-05,0.02,58569,85,682,,
0.05,52,97.8636703491211,-108.1901600625,78.1875,2.554573984525632e-05,0.02,59820,87,686,,
0.05,53,59.47495651245117,-139.10814231249998,64.6875,4.203449861961417e-05,0.02,60855,88,690,,
0.05,54,19.358224868774414,-136.4734105,69.8125,0.00012914407125208527,0.02,61972,89,695,,
0.05,55,37.12797546386719,-123.373491,66.0,6.733466580044478e-05,0.02,63028,90,699,,
0.05,56,26.13338851928711,-145.79810856249998,71.3125,9.566306107444689e-05,0.02,64169,91,703,,
0.05,57,32.84035873413086,-148.09454925,73.0625,7.61258415877819e-05,0.02,65338,92,703,,
0.05,58,33.125980377197266,-141.79003999999998,73.75,7.546946289949119e-05,0.02,66518,95,699,,
0.05,59,28.618879318237305,-142.53507637500002,68.9375,8.735491428524256e-05,0.02,67621,96,702,,
0.05,60,23.93744659423828,-132.6218141875,63.1875,0.00010443887731526047,0.02,68632,97,706,,
0.05,61,54.39860153198242,-129.4463011875,74.25,4.595706195686944e-05,0.02,69820,98,710,,
0.05,62,55.279075622558594,-132.2787608125,70.375,4.522507151705213e-05,0.02,70946,99,713,,
0.05,63,53.020896911621094,-118.264044625,66.625,4.715121758636087e-05,0.02,72012,100,714,,
0.05,64,34.749759674072266,-131.831798625,68.3125,7.194293721113354e-05,0.02,73105,101,717,,
0.05,65,28.473154067993164,-120.76883268750001,68.3125,8.780200005276129e-05,0.02,74198,102,721,,
0.05,66,57.39356994628906,-115.3995506875,75.4375,4.3558888137340546e-05,0.02,75405,103,725,,
0.05,67,18.827621459960938,-140.4632701875,73.1875,0.00013278363621793687,0.02,76576,105,727,,
0.05,68,48.29812240600586,-129.76053725,72.375,5.1761846407316625e-05,0.02,77734,106,729,,
0.05,69,40.09233856201172,-125.4120065,67.125,6.235604814719409e-05,0.02,78808,107,731,,
0.05,70,20.96990203857422,-135.0134105625,64.5625,0.00011921848636120558,0.02,79841,109,731,,
0.05,71,52.015052795410156,-127.61699362499999,68.25,4.806301149073988e-05,0.02,80933,116,692,,
0.05,72,48.176151275634766,-131.28506312500002,66.75,5.189289731788449e-05,0.02,82001,121,672,,
0.05,73,20.444725036621094,-120.590058125,65.1875,0.00012228092236910015,0.02,83044,123,670,,
0.05,74,24.1280517578125,-123.71768012499999,67.4375,0.00010361383465351537,0.02,84123,125,671,,
0.05,75,23.05118179321289,-136.944440375,68.25,0.00010845431097550318,0.02,85215,126,674,,
0.05,76,20.608963012695312,-130.04738525,65.625,0.00012130643881391734,0.02,86265,127,676,,
