rollout/ep_len_mean,time/time_elapsed,time/fps,time/total_timesteps,time/iterations,rollout/ep_rew_mean,train/loss,train/learning_rate,train/clip_fraction,train/policy_gradient_loss,train/explained_variance,train/entropy_loss,train/clip_range,train/approx_kl,train/n_updates,train/value_loss,eval/mean_ep_length,eval/mean_reward
104.21052631578948,9,226,2048,1,-235.8904718947368,,,,,,,,,,,,
99.53658536585365,59,69,4096,2,-207.27755521951224,610.1765747070312,0.0003,0.007666015625,-0.004707396381127183,-0.0026268959045410156,-1.3845980998128653,0.2,0.004345756,10,2062.1291839599608,,
99.04918032786885,72,85,6144,3,-194.67301945901636,669.6157836914062,0.0003,0.005224609375,-0.004807151322893333,-0.031200885772705078,-1.3772099122405053,0.2,0.006406586,20,1367.036110496521,,
100.45679012345678,85,95,8192,4,-182.86313250617283,462.5697021484375,0.0003,0.024853515625,-0.007060973953048233,-0.013584494590759277,-1.3634859010577203,0.2,0.0053613763,30,1050.1869339942932,,
97.82,99,102,10240,5,-171.15428566,228.8300018310547,0.0003,0.03662109375,-0.007221762735571247,-0.003564596176147461,-1.3517086692154408,0.2,0.006809683,40,605.7398020267486,,
98.11,125,97,12288,6,-159.87123850999998,237.51327514648438,0.0003,0.045458984375,-0.007302606011216994,-0.008153200149536133,-1.3331492070108653,0.2,0.0077696205,50,603.9793328285217,,
97.69,146,97,14336,7,-157.74486284,271.5765380859375,0.0003,0.22666015625,-0.008694108228519326,-0.0006346702575683594,-1.2957341384142638,0.2,0.012315666,60,659.1747058868408,,
127.25,170,96,16384,8,-158.20168213,37.780879974365234,0.0003,0.06240234375,-0.008389980990614276,0.10836094617843628,-1.3648395098745822,0.2,0.011293808,70,78.62624247074127,,
130.77,181,101,18432,9,-148.18180204,174.93792724609375,0.0003,0.035888671875,-0.0076306878458126445,0.05962955951690674,-1.3256571147590877,0.2,0.0063166562,80,489.84443016052245,,
134.8,209,97,20480,10,-148.19414903000003,177.86746215820312,0.0003,0.118212890625,-0.006248019021586515,-0.03534996509552002,-1.2525974601507186,0.2,0.010377226,90,268.0740928411484,,
139.11,224,100,22528,11,-141.33455979000001,349.8361511230469,0.0003,0.031298828125,-0.003682648758694995,-0.021103858947753906,-1.2526367127895355,0.2,0.0055208346,100,551.3172773838044,,
142.51,240,102,24576,12,-134.82578184000002,92.04618072509766,0.0003,0.04736328125,-0.005928506089549046,-0.003108501434326172,-1.23594428896904,0.2,0.0073498804,110,257.93834190368653,,
