time/total_timesteps,time/episodes,rollout/ep_len_mean,rollout/exploration rate,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/n_updates,train/learning_rate,train/loss,eval/mean_reward,eval/mean_ep_length
404,4,101.0,0.97333600000001,863,0,-169.42837125,,,,,
749,8,93.625,0.9505659999999927,956,0,-201.461679,,,,,
1132,12,94.33333333333333,0.9252879999999986,928,1,-215.8192175,,,,,
1518,16,94.875,0.8998119999999987,998,1,-218.24114668750002,,,,,
1847,20,92.35,0.8780979999999972,1035,1,-196.44636045000001,,,,,
2236,24,93.16666666666667,0.8524239999999916,979,2,-220.10626408333334,,,,,
2604,28,93.0,0.828136000000004,963,2,-212.5445563214286,,,,,
2922,32,91.3125,0.807147999999994,955,3,-205.72130640625,,,,,
3285,36,91.25,0.7831900000000085,942,3,-201.11717344444443,,,,,
3599,40,89.975,0.7624659999999914,920,3,-193.844702025,,,,,
3971,44,90.25,0.7379140000000108,919,4,-205.11449240909087,,,,,
4346,48,90.54166666666667,0.7131640000000026,923,4,-200.39361306249998,,,,,
4690,52,90.1923076923077,0.6904599999999945,897,5,-197.32075634615381,,,,,
5118,56,91.39285714285714,0.6622120000000029,897,5,-199.61457555357143,,,,,
5551,60,92.51666666666667,0.6336340000000091,885,6,-198.37606645,,,,,
5980,64,93.4375,0.6053200000000083,864,6,-194.604412953125,,,,,
6332,68,93.11764705882354,0.5820879999999924,846,7,-191.9314553970588,,,,,
6722,72,93.36111111111111,0.5563479999999996,829,8,-191.84470804166665,,,,,
7084,76,93.21052631578948,0.5324560000000014,818,8,-194.00974810526316,,,,,
7420,80,92.75,0.5102800000000012,800,9,-191.04033275,,,,,
7776,84,92.57142857142857,0.48678399999999233,797,9,-189.32443511904762,,,,,
8090,88,91.93181818181819,0.46605999999999725,800,10,-186.2138045568182,,,,,
8560,92,93.04347826086956,0.4350399999999919,782,10,-190.22116977173917,,,,,
8884,96,92.54166666666667,0.4136559999999925,772,11,-188.06624413541667,,,,,
9212,100,92.12,0.39200800000000025,775,11,-189.24763942,,,,,
9554,104,91.5,0.36943600000001053,768,12,-189.98158385999994,,,,,
9883,108,91.34,0.34772200000000897,766,12,-188.12977315000006,,,,,
10326,112,91.94,0.31848400000001087,779,13,-187.51657365000003,,,,,
10650,116,91.32,0.2970999999999895,788,13,-185.99659400000002,,,,,
11036,120,91.89,0.27162399999998965,798,13,-192.27237399,,,,,
11405,124,91.69,0.24726999999999288,806,14,-183.89304500999998,,,,,
11755,128,91.51,0.22416999999999532,817,14,-186.46421983000005,,,,,
12150,132,92.28,0.1981000000000004,827,14,-189.87672861000001,,,,,
